,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
2365,600330,天通股份,8.16,3.68,2,1,18,3.68,0.0,24.77
529,002076,雪 莱 特,3.83,4.08,2,2,16,4.08,4.08,24.76
2999,601618,中国中冶,3.73,4.78,3,18,17,5.67,26.44,24.75
701,002249,大洋电机,4.74,0.21,2,2,14,0.21,0.21,24.74
3511,603998,方盛制药,6.10,1.33,4,7,17,0.99,6.83,24.74
2032,300690,双一科技,21.10,5.87,2,2,15,5.87,5.87,24.7
3019,601789,宁波建工,4.09,9.95,4,17,17,10.84,24.7,24.7
525,002072,凯瑞德,6.97,7.4,1,7,14,0.0,9.94,24.69
1419,300058,蓝色光标,5.10,4.72,2,2,17,4.72,4.72,24.69
2764,600815,厦工股份,3.54,2.61,2,1,14,2.61,0.0,24.65
731,002281,光迅科技,33.12,3.47,1,1,18,0.0,0.0,24.6
2845,600908,无锡银行,6.79,0.15,2,8,19,0.15,13.36,24.59
920,002473,*ST圣莱,8.92,1.94,4,18,17,1.71,29.65,24.58
3053,601949,中国出版,5.58,3.33,8,17,15,18.98,27.4,24.55
1623,300266,兴源环境,4.11,1.73,2,8,16,1.73,15.45,24.55
1617,300260,新莱应材,11.67,2.46,4,19,18,4.76,26.3,24.55
2646,600686,金龙汽车,8.83,-1.12,-1,-1,17,0.0,0.0,24.54
2611,600645,中源协和,21.18,2.97,9,9,16,18.72,18.72,24.51
1626,300269,联建光电,6.30,9.95,2,2,13,9.95,9.95,24.51
2806,600862,中航高科,8.33,3.74,2,13,20,3.74,18.32,24.51
1669,300314,戴维医疗,10.53,-1.31,-1,17,16,0.0,31.62,24.47
290,000766,通化金马,8.09,5.89,2,8,17,5.89,17.08,24.46
338,000835,长城动漫,5.14,10.06,3,17,15,11.02,30.13,24.46
3213,603300,华铁科技,5.70,1.42,2,1,16,1.42,0.0,24.45
1330,002909,集泰股份,12.37,6.64,4,4,16,10.25,10.25,24.45
1911,300561,汇金科技,15.43,3.91,3,2,15,5.32,3.91,24.44
923,002476,宝莫股份,5.45,1.87,2,17,16,1.87,27.34,24.43
2178,600112,天成控股,4.74,4.18,2,1,15,4.18,0.0,24.41
2275,600225,天津松江,3.62,10.03,1,1,17,0.0,0.0,24.4
1718,300364,中文在线,5.71,3.25,2,17,15,3.25,30.37,24.4
601,002148,北纬科技,7.60,0.0,2,2,16,0.0,0.0,24.39
3083,603015,弘讯科技,7.65,4.79,4,7,16,5.52,5.08,24.39
1890,300539,横河模具,10.05,-1.28,-2,-1,18,-1.28,0.0,24.38
88,000420,吉林化纤,2.50,5.49,1,8,17,0.0,17.37,24.38
764,002314,南山控股,3.78,2.16,4,7,17,4.13,7.08,24.34
848,002400,省广集团,3.68,3.37,1,17,17,0.0,24.32,24.32
2008,300666,江丰电子,46.22,5.65,2,2,17,5.65,5.65,24.31
382,000908,景峰医药,5.42,1.88,2,8,16,1.88,19.38,24.31
2195,600130,波导股份,4.45,5.2,2,2,16,5.2,5.2,24.3
2251,600197,伊力特,17.51,0.52,5,7,31,5.61,4.98,24.27
24,000031,中粮地产,6.25,5.04,8,8,18,15.74,15.74,24.25
320,000810,创维数字,9.23,10.01,4,7,7,19.87,24.23,24.23
2064,300726,宏达电子,21.18,4.8,2,2,16,4.8,4.8,24.22
2177,600111,北方稀土,11.13,2.02,2,1,17,2.02,0.0,24.22
1980,300637,扬帆新材,33.18,1.5,3,9,17,0.39,16.87,24.22
3014,601718,际华集团,4.31,0.23,8,17,16,18.08,25.66,24.21
1970,300627,华测导航,20.71,7.03,4,2,17,8.6,7.03,24.16
2287,600237,铜峰电子,4.37,4.8,2,2,16,4.8,4.8,24.15
2003,300661,圣邦股份,101.54,10.0,3,2,8,14.76,10.0,24.15
3201,603266,天龙股份,17.48,4.98,8,8,15,18.51,18.51,24.15
726,002276,万马股份,7.10,0.71,2,2,17,0.71,0.71,24.13
328,000820,神雾节能,5.92,0.17,2,2,16,0.17,0.17,24.11
561,002108,沧州明珠,5.25,1.55,3,7,17,2.54,6.49,24.11
3247,603360,百傲化学,18.13,0.0,2,-1,18,0.0,0.0,24.09
2061,300722,新余国科,38.70,4.2,8,17,15,17.56,28.57,24.08
