,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
565,002125,湘潭电化,10.08,10.04,6,10,10,23.23,30.91,30.91
41,000056,皇庭国际,6.10,3.92,4,4,19,10.91,10.91,30.9
801,002370,亚太药业,12.63,1.2,4,4,17,3.52,3.52,30.88
1216,002815,崇达技术,17.81,-1.87,-1,4,20,0.0,5.57,30.86
1057,002638,勤上股份,3.35,2.45,3,10,18,5.68,20.5,30.86
1941,300645,正元智慧,39.65,4.7,5,19,17,10.45,34.45,30.86
2931,601718,际华集团,4.54,4.37,10,19,18,24.38,32.36,30.84
705,002269,美邦服饰,3.14,3.29,10,19,18,23.14,33.62,30.83
1024,002605,姚记扑克,10.70,-3.86,-1,-1,18,0.0,0.0,30.81
1621,300302,同有科技,10.45,2.45,4,4,17,14.96,14.96,30.79
2155,600148,长春一东,19.12,1.86,4,4,19,15.46,15.46,30.78
1891,300590,移为通信,38.71,-3.22,-1,6,11,0.0,15.0,30.78
2721,600848,上海临港,26.90,3.94,10,10,20,21.23,21.23,30.77
422,000972,ST中基,3.70,5.11,6,10,18,15.99,22.52,30.74
1737,300426,唐德影视,8.38,5.94,3,3,17,9.54,9.54,30.73
576,002139,拓邦股份,5.92,-2.15,-1,4,20,0.0,4.59,30.68
3112,603260,合盛硅业,57.30,0.35,2,2,30,0.35,0.35,30.67
2168,600162,香江控股,2.94,0.68,2,9,20,0.68,13.51,30.67
875,002447,晨鑫科技,3.54,3.81,3,3,17,8.59,8.59,30.63
1068,002649,博彦科技,9.98,2.67,4,4,18,11.26,11.26,30.63
1777,300467,迅游科技,27.77,5.47,4,4,17,12.07,12.07,30.62
1209,002807,江阴银行,6.91,3.13,10,10,20,20.38,20.38,30.62
102,000509,华塑控股,3.50,3.55,4,19,18,10.06,34.62,30.6
1070,002651,利君股份,6.02,-1.31,6,10,17,18.5,24.64,30.59
44,000060,中金岭南,5.38,3.66,5,21,20,9.8,33.5,30.58
1698,300384,三联虹普,17.00,-2.13,-1,3,19,0.0,2.16,30.57
1866,300561,汇金科技,16.19,1.31,5,4,17,10.51,9.02,30.56
3409,603988,中电电机,12.35,2.32,6,19,18,18.75,31.66,30.55
1723,300411,金盾股份,10.00,2.88,4,19,17,8.46,34.41,30.55
3317,603787,新日股份,12.32,10.0,4,4,18,13.44,13.44,30.51
3256,603656,泰禾光电,19.22,1.59,5,4,19,16.63,6.01,30.48
111,000521,长虹美菱,4.11,2.24,4,19,19,8.44,30.48,30.48
682,002245,澳洋顺昌,5.31,1.34,4,3,18,10.17,5.99,30.47
539,002099,海翔药业,6.00,0.5,3,9,20,3.63,7.14,30.43
1429,300103,达刚路机,10.29,-1.34,-1,10,19,0.0,23.83,30.42
